id,Date,Latitude,Longitude,Source,Text,User,Tag
448780746120233000,2014-03-26,-12.4910688,130.977417,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@allgdrlucas perché sei un pervertito xdxd,_louallgdrs,omofobia
448065838483243000,2014-03-24,-22.328474,24.684866,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Se il tuo uomo si fa la ceretta, il tuo uomo è un frocio.",il_bozo,omofobia
449580015362245000,2014-03-28,-22.328474,24.684866,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ciao @infomalgioglio ti sborrerei in gola, magari ti strozzi e vai a giocare coi cazzetti degli angeli neonati. Ciao frocio <3",il_bozo,omofobia
448223142184747000,2014-03-24,-22.9576397,18.4904099,web,"@Milan833 @releone1985 Ah come a dire ""non sono un pervertito ma du botte te le darei""",shelowin,omofobia
448246539472110000,2014-03-25,-22.9576397,18.4904099,web,"@releone1985 @Pierosx ma anche no, lui è solo gay perché ha l'acquario in casa...non è ricchione",shelowin,omofobia
448248636754100000,2014-03-25,-22.9576397,18.4904099,web,"finalmente un uomo vero @TonyTricarico, dillo a sto ricchione @releone1985 che mi rifiuta",shelowin,omofobia
448475079572464000,2014-03-25,-22.9576397,18.4904099,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",RT @DannyPocho: @shelowin se vuoi ti porto a benedire da un prete ricchione!!,shelowin,omofobia
448965764125831000,2014-03-27,-22.9576397,18.4904099,web,@drughia71 @releone1985 è un malato pervertito,shelowin,omofobia
449118145828360000,2014-03-27,-22.9576397,18.4904099,web,Non caffè ma terribili tisane al finocchio. Come posso diventare una brava persona?!,shelowin,omofobia
452868704137916000,2014-04-06,-23.5321674,-46.6443443,web,"RT @PiergTheAnthem: @DrunkyBorghy @paolotheanthem @theanthemitaly @dariustheanthem ""aho, er frocio è lui eh""",DrunkyBorghy,omofobia
447367004962685000,2014-03-22,-24.2906246,-46.9741745,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Frankiesmile_: Frank, andiamo insieme a picchiare quella checca isterica della Gerarda? Ti va? Usa pure la chitarra.",danger_girl23,omofobia
448115981937046000,2014-03-24,-24.2906246,-46.9741745,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ma tu sei una checca tesoro :-),jakehwgdr,omofobia
448199553746227000,2014-03-24,-24.2906246,-46.9741745,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","""@obsessharry: @bananakid094 tanto sei frocio"" ti sposo.",sorrididevonne,omofobia
448848484402467000,2014-03-26,-24.2906246,-46.9741745,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @perfloyd: ""@bonfireheartz but first...... LET ME TAKE A SELFIE http://t.co/fmt6NXyAqQ"" horan sei una checca in questa foto",rescuemedraco,omofobia
449180969342624000,2014-03-27,-24.2906246,-46.9741745,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @tomlincolfer: @Louis_Tomlinson sei solo un pervertito,1Dforevah01,omofobia
447058588339831000,2014-03-21,-30.165884,30.7714043,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@hemmingsgdrs ma cosa vuoi fare checca 😒,tomlinsonall,omofobia
447058742216249000,2014-03-21,-30.165884,30.7714043,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@hemmingsgdrs checca😁,tomlinsonall,omofobia
448931593043071000,2014-03-26,-30.2818832,152.774887,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Megangrfgdr amore va bene che sono pervertito, ma ora penserà male chiunque.",iangrfgdr,omofobia
452608560061772000,2014-04-06,-31.5400734,-68.5182953,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Que tarde con mi hermano checca.. Y a seguirla rompiendo esta noche,CoLoWp,omofobia
447833644955365000,2014-03-23,-4.99949837,35.9288254,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Non solo sto mezzo frocio segna solo contro de noi, ma pure a bucio de culo #kaka #LazioMilan",Profeta1986,omofobia
448202527461634000,2014-03-24,-6.2390213,107.005928,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@iriccidiliam HAHHAHAHAHHAHAHAHHAHAHAHHAHAHAHAHAHHAHAHAHHAHAHAHAAHHAHAHAHA AIUTAMIIIII AHAHHAH ""sei frocio"" non tu quello dietro HAHAHHAHAHA",_youaremyhero,omofobia
448400094166278000,2014-03-25,-7.47844172,178.679916,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Radio24_news: @cuoreedenari - Carota o finocchio prima di mangiare per resettare il nostro sistema immunitario http://t.co/PSq5X0SCzZ,ChiaraDaneluzzi,omofobia
448537661498995000,2014-03-25,-8.01825142,-34.9656143,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@Ashtvon si bocchinaro,drvnkiam,omofobia
449170633122120000,2014-03-27,-8.01825142,-34.9656143,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",@Louis_Tomlinson Io l'ho sempre detto che sei un maniaco pervertito 😌,expectouis,omofobia
449179588896518000,2014-03-27,-8.01825142,-34.9656143,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",@twinkouis perché è un maniaco pervertito,expectouis,omofobia
449264024266768000,2014-03-27,-9.0,145.0,web,"Mio fratello da quando si è sposato e ha avuto una figlia è diventato frocio, ve lo dico.",DeiaSchwindel,omofobia
